NUM_LOOP,FREQ,EVAL_BITS,REP_BITS,BOARD_NUM
145,35,20,6,0
146,18,20,6,0
147,33,20,6,0
148,13,20,6,0
149,68,20,6,0
150,28,20,6,0
151,78180,20,6,0
152,42,20,6,0
153,40,20,6,0
154,18,20,6,0
155,4594,20,6,0
156,86,20,6,0
157,67,20,6,0
158,88,20,6,0
159,46,20,6,0
160,136,20,6,0
161,25,20,6,0
162,21,20,6,0
163,109,20,6,0
164,169,20,6,0
165,28,20,6,0
166,30,20,6,0
167,59,20,6,0
168,25856,20,6,0
169,28,20,6,0
170,180,20,6,0
171,28,20,6,0
172,158,20,6,0
173,18,20,6,0
174,883,20,6,0
175,51,20,6,0
176,12,20,6,0
177,40,20,6,0
178,17,20,6,0
179,26,20,6,0
180,42,20,6,0
181,1648764,20,6,0
182,25,20,6,0
183,338,20,6,0
184,39,20,6,0
185,189601,20,6,0
186,17,20,6,0
187,30856,20,6,0
188,84886,20,6,0
189,13,20,6,0
190,34,20,6,0
191,21,20,6,0
192,54,20,6,0
193,24,20,6,0
194,9,20,6,0
195,52,20,6,0
196,22,20,6,0
197,21,20,6,0
198,11406,20,6,0
199,14,20,6,0
200,107,20,6,0
201,67,20,6,0
202,17,20,6,0
203,413,20,6,0
204,57,20,6,0
205,36,20,6,0
206,10773,20,6,0
207,120396,20,6,0
208,15,20,6,0
209,12,20,6,0
210,20,20,6,0
211,943947,20,6,0
212,61,20,6,0
213,25,20,6,0
214,124,20,6,0
215,299,20,6,0
216,49,20,6,0
217,47381,20,6,0
218,2947164,20,6,0
219,177,20,6,0
220,104,20,6,0
221,53,20,6,0
222,93,20,6,0
223,10,20,6,0
224,21,20,6,0
225,4438,20,6,0
226,50,20,6,0
227,33,20,6,0
228,12,20,6,0
229,64,20,6,0
230,281,20,6,0
231,241,20,6,0
232,105,20,6,0
233,19,20,6,0
234,127,20,6,0
235,170,20,6,0
236,133,20,6,0
237,12557,20,6,0
238,196,20,6,0
239,10295,20,6,0
240,54,20,6,0
241,1416924,20,6,0
242,3557538,20,6,0
243,1564,20,6,0
244,90,20,6,0
245,148756,20,6,0
246,179,20,6,0
247,65,20,6,0
248,37926,20,6,0
249,17822,20,6,0
250,19,20,6,0
251,415427,20,6,0
252,1106,20,6,0
253,237560,20,6,0
254,1220280,20,6,0
255,41,20,6,0
256,135,20,6,0
257,24,20,6,0
258,127,20,6,0
259,29,20,6,0
260,204,20,6,0
261,45,20,6,0
262,29,20,6,0
263,13130,20,6,0
264,80,20,6,0
265,2328218,20,6,0
266,120,20,6,0
267,56,20,6,0
268,995,20,6,0
269,27,20,6,0
270,143,20,6,0
271,20,20,6,0
272,27,20,6,0
273,56,20,6,0
274,54,20,6,0
275,22,20,6,0
276,46914,20,6,0
277,2883,20,6,0
278,14,20,6,0
279,34,20,6,0
280,64,20,6,0
281,99434,20,6,0
282,16,20,6,0
283,16,20,6,0
284,34,20,6,0
285,491883,20,6,0
286,20,20,6,0
287,40,20,6,0
288,57,20,6,0
289,12,20,6,0
290,21,20,6,0
291,137712,20,6,0
292,63,20,6,0
293,2582828,20,6,0
294,161,20,6,0
295,142,20,6,0
296,130,20,6,0
297,66,20,6,0
298,159,20,6,0
299,11,20,6,0
300,64,20,6,0
301,17,20,6,0
302,37,20,6,0
303,119826,20,6,0
304,434,20,6,0
305,6980,20,6,0
306,147,20,6,0
307,50,20,6,0
308,97,20,6,0
309,23,20,6,0
310,35,20,6,0
311,56,20,6,0
312,185,20,6,0
313,3296431,20,6,0
314,18010,20,6,0
315,30,20,6,0
316,21,20,6,0
317,3236941,20,6,0
318,18,20,6,0
319,15,20,6,0
320,54,20,6,0
321,21,20,6,0
322,149,20,6,0
323,43,20,6,0
324,30,20,6,0
325,74,20,6,0
326,84,20,6,0
327,35,20,6,0
328,184,20,6,0
329,39,20,6,0
330,114415,20,6,0
331,17,20,6,0
332,30,20,6,0
333,30,20,6,0
334,191,20,6,0
335,24,20,6,0
336,35,20,6,0
337,18,20,6,0
338,15,20,6,0
339,132,20,6,0
340,11,20,6,0
341,3709355,20,6,0
342,133,20,6,0
343,16,20,6,0
344,23,20,6,0
345,15,20,6,0
346,399,20,6,0
347,13,20,6,0
348,25,20,6,0
349,22,20,6,0
350,29,20,6,0
351,60,20,6,0
352,51,20,6,0
353,34,20,6,0
354,3678393,20,6,0
355,27,20,6,0
356,47,20,6,0
357,35,20,6,0
358,53,20,6,0
359,16,20,6,0
360,126,20,6,0
361,37,20,6,0
362,573840,20,6,0
363,52,20,6,0
364,35,20,6,0
365,1197189,20,6,0
366,263,20,6,0
367,13,20,6,0
368,27,20,6,0
369,15,20,6,0
370,21,20,6,0
371,52,20,6,0
372,118,20,6,0
373,147544,20,6,0
374,167,20,6,0
375,12,20,6,0
376,92,20,6,0
377,121106,20,6,0
378,76,20,6,0
379,14,20,6,0
380,23,20,6,0
381,113257,20,6,0
382,21,20,6,0
383,24,20,6,0
384,15,20,6,0
385,460121,20,6,0
386,44,20,6,0
387,116053,20,6,0
388,21,20,6,0
389,347437,20,6,0
390,25,20,6,0
391,115,20,6,0
392,88,20,6,0
393,1630183,20,6,0
394,136,20,6,0
395,64,20,6,0
396,60,20,6,0
397,3722521,20,6,0
398,29,20,6,0
399,2301,20,6,0
400,37,20,6,0
401,31,20,6,0
402,19,20,6,0
403,35,20,6,0
404,138,20,6,0
405,828340,20,6,0
406,40,20,6,0
407,22,20,6,0
408,108,20,6,0
409,49744,20,6,0
410,152,20,6,0
411,44,20,6,0
412,1035544,20,6,0
413,593142,20,6,0
414,19,20,6,0
415,473841,20,6,0
416,35,20,6,0
417,30,20,6,0
418,55,20,6,0
419,182,20,6,0
420,11,20,6,0
421,14,20,6,0
422,190,20,6,0
423,52,20,6,0
424,28,20,6,0
425,207,20,6,0
426,29,20,6,0
427,23,20,6,0
428,19,20,6,0
