NUM_LOOP,FREQ,EVAL_BITS,REP_BITS,BOARD_NUM
600,23,6,2,0
601,20,6,2,0
602,19,6,2,0
603,99,6,2,0
604,43,6,2,0
605,29,6,2,0
606,45,6,2,0
607,50,6,2,0
608,43,6,2,0
609,220,6,2,0
610,10,6,2,0
611,52,6,2,0
612,54,6,2,0
613,46,6,2,0
614,11,6,2,0
615,93,6,2,0
616,18,6,2,0
617,25,6,2,0
618,13,6,2,0
619,133,6,2,0
620,16,6,2,0
621,18,6,2,0
622,97,6,2,0
623,24,6,2,0
624,48,6,2,0
625,27,6,2,0
626,28,6,2,0
627,21,6,2,0
628,18,6,2,0
629,57,6,2,0
630,29,6,2,0
631,40,6,2,0
632,25,6,2,0
633,16,6,2,0
634,29,6,2,0
635,24,6,2,0
636,10,6,2,0
637,41,6,2,0
638,36,6,2,0
639,20,6,2,0
640,74,6,2,0
641,32,6,2,0
642,33,6,2,0
643,41,6,2,0
644,54,6,2,0
645,49,6,2,0
646,59,6,2,0
647,43,6,2,0
648,14,6,2,0
649,44,6,2,0
650,58,6,2,0
651,19,6,2,0
652,39,6,2,0
653,224,6,2,0
654,18,6,2,0
655,29,6,2,0
656,35,6,2,0
657,47,6,2,0
658,26,6,2,0
659,235,6,2,0
660,21,6,2,0
661,66,6,2,0
662,43,6,2,0
663,70,6,2,0
664,28,6,2,0
665,61,6,2,0
666,111,6,2,0
667,17,6,2,0
668,28,6,2,0
669,33,6,2,0
670,15,6,2,0
671,27,6,2,0
672,27,6,2,0
673,43,6,2,0
674,20,6,2,0
675,236,6,2,0
676,24,6,2,0
677,65,6,2,0
678,29,6,2,0
679,30,6,2,0
680,38,6,2,0
681,67,6,2,0
682,131,6,2,0
683,31,6,2,0
684,22,6,2,0
685,31,6,2,0
686,15,6,2,0
687,19,6,2,0
688,41,6,2,0
689,57,6,2,0
690,87,6,2,0
691,39,6,2,0
692,19,6,2,0
693,22,6,2,0
694,175,6,2,0
695,23,6,2,0
696,31,6,2,0
697,18,6,2,0
698,84,6,2,0
699,22,6,2,0
700,37,6,2,0
701,205,6,2,0
702,50,6,2,0
703,29,6,2,0
704,14,6,2,0
705,34,6,2,0
706,29,6,2,0
707,56,6,2,0
708,60,6,2,0
709,39,6,2,0
710,37,6,2,0
711,90,6,2,0
712,31,6,2,0
713,22,6,2,0
714,14,6,2,0
715,30,6,2,0
716,19,6,2,0
717,47,6,2,0
718,96,6,2,0
719,32,6,2,0
720,13,6,2,0
721,44,6,2,0
722,22,6,2,0
723,44,6,2,0
724,30,6,2,0
725,211,6,2,0
726,42,6,2,0
727,22,6,2,0
728,33,6,2,0
729,31,6,2,0
730,25,6,2,0
731,12,6,2,0
732,10,6,2,0
733,222,6,2,0
734,14,6,2,0
735,118,6,2,0
736,42,6,2,0
737,17,6,2,0
738,29,6,2,0
739,38,6,2,0
740,105,6,2,0
741,28,6,2,0
742,19,6,2,0
743,22,6,2,0
744,17,6,2,0
745,15,6,2,0
746,37,6,2,0
747,61,6,2,0
748,70,6,2,0
749,48,6,2,0
750,18,6,2,0
751,17,6,2,0
752,19,6,2,0
753,28,6,2,0
754,35,6,2,0
755,17,6,2,0
756,24,6,2,0
757,33,6,2,0
758,51,6,2,0
759,26,6,2,0
760,33,6,2,0
761,220,6,2,0
762,50,6,2,0
763,39,6,2,0
764,57,6,2,0
765,20,6,2,0
766,29,6,2,0
767,93,6,2,0
768,46,6,2,0
769,26,6,2,0
770,18,6,2,0
771,92,6,2,0
772,77,6,2,0
773,159,6,2,0
774,38,6,2,0
775,34,6,2,0
776,80,6,2,0
777,40,6,2,0
778,22,6,2,0
779,50,6,2,0
780,38,6,2,0
781,226,6,2,0
782,61,6,2,0
783,24,6,2,0
784,18,6,2,0
785,222,6,2,0
786,33,6,2,0
787,19,6,2,0
788,43,6,2,0
789,184,6,2,0
790,111,6,2,0
791,21,6,2,0
792,33,6,2,0
793,16,6,2,0
794,222,6,2,0
795,17,6,2,0
796,26,6,2,0
797,21,6,2,0
798,73,6,2,0
799,28,6,2,0
800,19,6,2,0
801,13,6,2,0
802,20,6,2,0
803,64,6,2,0
804,25,6,2,0
805,37,6,2,0
806,50,6,2,0
807,56,6,2,0
808,74,6,2,0
809,38,6,2,0
810,35,6,2,0
811,66,6,2,0
812,57,6,2,0
813,224,6,2,0
814,23,6,2,0
815,20,6,2,0
816,21,6,2,0
817,222,6,2,0
818,14,6,2,0
819,81,6,2,0
820,17,6,2,0
821,18,6,2,0
822,25,6,2,0
823,30,6,2,0
824,212,6,2,0
825,219,6,2,0
826,42,6,2,0
827,230,6,2,0
828,14,6,2,0
829,46,6,2,0
830,16,6,2,0
831,36,6,2,0
832,39,6,2,0
833,32,6,2,0
834,31,6,2,0
835,154,6,2,0
836,80,6,2,0
837,22,6,2,0
838,13,6,2,0
839,20,6,2,0
840,21,6,2,0
841,55,6,2,0
842,51,6,2,0
843,86,6,2,0
844,25,6,2,0
845,38,6,2,0
846,221,6,2,0
847,30,6,2,0
848,51,6,2,0
849,17,6,2,0
850,28,6,2,0
851,41,6,2,0
852,39,6,2,0
853,68,6,2,0
854,44,6,2,0
855,26,6,2,0
856,12,6,2,0
857,55,6,2,0
858,22,6,2,0
859,25,6,2,0
860,26,6,2,0
861,12,6,2,0
862,27,6,2,0
863,72,6,2,0
864,27,6,2,0
865,17,6,2,0
866,14,6,2,0
867,32,6,2,0
868,17,6,2,0
869,226,6,2,0
870,42,6,2,0
871,20,6,2,0
872,27,6,2,0
873,30,6,2,0
874,16,6,2,0
875,20,6,2,0
876,28,6,2,0
877,61,6,2,0
878,28,6,2,0
879,55,6,2,0
880,28,6,2,0
881,25,6,2,0
882,21,6,2,0
883,26,6,2,0
884,14,6,2,0
885,226,6,2,0
886,59,6,2,0
887,21,6,2,0
888,44,6,2,0
889,41,6,2,0
890,24,6,2,0
891,101,6,2,0
892,23,6,2,0
893,28,6,2,0
894,52,6,2,0
895,98,6,2,0
896,35,6,2,0
897,19,6,2,0
898,90,6,2,0
899,32,6,2,0
900,22,6,2,0
901,227,6,2,0
902,27,6,2,0
903,167,6,2,0
904,35,6,2,0
905,57,6,2,0
906,23,6,2,0
907,230,6,2,0
908,33,6,2,0
909,17,6,2,0
910,18,6,2,0
911,71,6,2,0
912,35,6,2,0
913,63,6,2,0
914,22,6,2,0
915,83,6,2,0
916,218,6,2,0
917,20,6,2,0
918,30,6,2,0
919,230,6,2,0
920,48,6,2,0
921,20,6,2,0
922,14,6,2,0
923,39,6,2,0
924,27,6,2,0
925,11,6,2,0
926,34,6,2,0
927,20,6,2,0
928,18,6,2,0
929,22,6,2,0
930,25,6,2,0
931,24,6,2,0
932,136,6,2,0
933,16,6,2,0
934,37,6,2,0
935,230,6,2,0
936,73,6,2,0
937,221,6,2,0
938,11,6,2,0
939,44,6,2,0
940,39,6,2,0
941,43,6,2,0
942,15,6,2,0
943,43,6,2,0
944,14,6,2,0
945,221,6,2,0
946,27,6,2,0
947,8,6,2,0
948,24,6,2,0
949,12,6,2,0
950,50,6,2,0
951,29,6,2,0
952,23,6,2,0
953,69,6,2,0
954,55,6,2,0
955,19,6,2,0
956,43,6,2,0
957,13,6,2,0
958,31,6,2,0
959,53,6,2,0
960,64,6,2,0
961,20,6,2,0
962,28,6,2,0
963,12,6,2,0
964,26,6,2,0
965,58,6,2,0
966,25,6,2,0
967,56,6,2,0
968,15,6,2,0
969,24,6,2,0
970,40,6,2,0
971,13,6,2,0
972,22,6,2,0
973,23,6,2,0
974,73,6,2,0
975,39,6,2,0
976,27,6,2,0
977,22,6,2,0
978,12,6,2,0
979,21,6,2,0
980,23,6,2,0
981,55,6,2,0
982,42,6,2,0
983,72,6,2,0
984,47,6,2,0
985,14,6,2,0
986,153,6,2,0
987,38,6,2,0
988,14,6,2,0
989,49,6,2,0
990,21,6,2,0
991,51,6,2,0
992,8,6,2,0
993,220,6,2,0
994,19,6,2,0
995,35,6,2,0
996,32,6,2,0
997,23,6,2,0
998,18,6,2,0
999,54,6,2,0
1000,61,6,2,0
1001,217,6,2,0
1002,12,6,2,0
1003,228,6,2,0
1004,75,6,2,0
1005,15,6,2,0
1006,33,6,2,0
1007,20,6,2,0
1008,16,6,2,0
1009,39,6,2,0
1010,144,6,2,0
1011,17,6,2,0
1012,72,6,2,0
1013,154,6,2,0
1014,54,6,2,0
1015,56,6,2,0
1016,31,6,2,0
1017,143,6,2,0
1018,56,6,2,0
1019,21,6,2,0
1020,38,6,2,0
1021,46,6,2,0
1022,20,6,2,0
1023,78,6,2,0
1024,26,6,2,0
1025,207,6,2,0
1026,29,6,2,0
1027,36,6,2,0
1028,17,6,2,0
1029,69,6,2,0
1030,32,6,2,0
1031,38,6,2,0
1032,33,6,2,0
1033,25,6,2,0
1034,17,6,2,0
1035,167,6,2,0
1036,220,6,2,0
1037,88,6,2,0
1038,102,6,2,0
1039,93,6,2,0
1040,17,6,2,0
1041,38,6,2,0
1042,12,6,2,0
1043,46,6,2,0
1044,17,6,2,0
1045,67,6,2,0
1046,11,6,2,0
1047,83,6,2,0
1048,15,6,2,0
1049,221,6,2,0
1050,86,6,2,0
1051,42,6,2,0
1052,67,6,2,0
1053,40,6,2,0
1054,70,6,2,0
1055,69,6,2,0
1056,16,6,2,0
1057,33,6,2,0
1058,16,6,2,0
1059,31,6,2,0
1060,25,6,2,0
1061,56,6,2,0
1062,29,6,2,0
1063,82,6,2,0
1064,15,6,2,0
1065,26,6,2,0
1066,153,6,2,0
1067,67,6,2,0
1068,29,6,2,0
1069,224,6,2,0
1070,26,6,2,0
1071,231,6,2,0
1072,54,6,2,0
1073,26,6,2,0
1074,14,6,2,0
1075,27,6,2,0
1076,217,6,2,0
1077,12,6,2,0
1078,31,6,2,0
1079,24,6,2,0
1080,64,6,2,0
1081,15,6,2,0
1082,25,6,2,0
1083,13,6,2,0
1084,17,6,2,0
1085,228,6,2,0
1086,80,6,2,0
1087,15,6,2,0
1088,34,6,2,0
1089,22,6,2,0
1090,10,6,2,0
1091,41,6,2,0
1092,20,6,2,0
1093,227,6,2,0
1094,15,6,2,0
1095,16,6,2,0
1096,21,6,2,0
