NUM_LOOP,FREQ,EVAL_BITS,REP_BITS,BOARD_NUM
187,79,6,131,0
188,79,6,131,0
189,12,6,131,0
190,28,6,131,0
191,16,6,131,0
192,29,6,131,0
193,26,6,131,0
194,11,6,131,0
195,30,6,131,0
196,22,6,131,0
197,22,6,131,0
198,90,6,131,0
199,18,6,131,0
200,47,6,131,0
201,34,6,131,0
202,14,6,131,0
203,224,6,131,0
204,37,6,131,0
205,23,6,131,0
206,133,6,131,0
207,173,6,131,0
208,13,6,131,0
209,16,6,131,0
210,27,6,131,0
211,235,6,131,0
212,34,6,131,0
213,21,6,131,0
214,54,6,131,0
215,51,6,131,0
216,28,6,131,0
217,87,6,131,0
218,228,6,131,0
219,106,6,131,0
220,48,6,131,0
221,56,6,131,0
222,47,6,131,0
223,16,6,131,0
224,18,6,131,0
225,48,6,131,0
226,31,6,131,0
227,28,6,131,0
228,11,6,131,0
229,43,6,131,0
230,80,6,131,0
231,136,6,131,0
232,36,6,131,0
233,16,6,131,0
234,52,6,131,0
235,185,6,131,0
236,44,6,131,0
237,217,6,131,0
238,78,6,131,0
239,121,6,131,0
240,36,6,131,0
241,227,6,131,0
242,230,6,131,0
243,49,6,131,0
244,43,6,131,0
245,231,6,131,0
246,140,6,131,0
247,54,6,131,0
248,152,6,131,0
249,85,6,131,0
250,12,6,131,0
251,39,6,131,0
252,39,6,131,0
253,143,6,131,0
254,232,6,131,0
255,29,6,131,0
256,125,6,131,0
257,20,6,131,0
258,56,6,131,0
259,25,6,131,0
260,133,6,131,0
261,28,6,131,0
262,20,6,131,0
263,145,6,131,0
264,49,6,131,0
265,166,6,131,0
266,42,6,131,0
267,33,6,131,0
268,214,6,131,0
269,26,6,131,0
270,47,6,131,0
271,16,6,131,0
272,21,6,131,0
273,36,6,131,0
274,29,6,131,0
275,17,6,131,0
276,56,6,131,0
277,126,6,131,0
278,12,6,131,0
279,26,6,131,0
280,36,6,131,0
281,58,6,131,0
282,13,6,131,0
283,14,6,131,0
284,24,6,131,0
285,222,6,131,0
286,12,6,131,0
287,30,6,131,0
288,35,6,131,0
289,11,6,131,0
290,17,6,131,0
291,55,6,131,0
292,36,6,131,0
293,153,6,131,0
294,99,6,131,0
295,51,6,131,0
296,101,6,131,0
297,17,6,131,0
298,53,6,131,0
299,5,6,131,0
300,34,6,131,0
301,17,6,131,0
302,26,6,131,0
303,212,6,131,0
304,70,6,131,0
305,61,6,131,0
306,63,6,131,0
307,35,6,131,0
308,41,6,131,0
309,19,6,131,0
310,21,6,131,0
311,38,6,131,0
312,55,6,131,0
313,206,6,131,0
314,162,6,131,0
315,25,6,131,0
316,18,6,131,0
317,207,6,131,0
318,14,6,131,0
319,9,6,131,0
320,28,6,131,0
321,17,6,131,0
322,46,6,131,0
323,31,6,131,0
324,24,6,131,0
325,23,6,131,0
326,41,6,131,0
327,12,6,131,0
328,54,6,131,0
329,27,6,131,0
330,62,6,131,0
331,15,6,131,0
332,22,6,131,0
333,27,6,131,0
334,63,6,131,0
335,21,6,131,0
336,27,6,131,0
337,14,6,131,0
338,12,6,131,0
339,47,6,131,0
340,10,6,131,0
341,233,6,131,0
342,44,6,131,0
343,13,6,131,0
344,19,6,131,0
345,13,6,131,0
346,184,6,131,0
347,11,6,131,0
348,19,6,131,0
349,17,6,131,0
350,21,6,131,0
351,36,6,131,0
352,30,6,131,0
353,26,6,131,0
354,231,6,131,0
355,21,6,131,0
356,34,6,131,0
357,27,6,131,0
358,41,6,131,0
359,13,6,131,0
360,32,6,131,0
361,29,6,131,0
362,192,6,131,0
363,33,6,131,0
364,28,6,131,0
365,204,6,131,0
366,94,6,131,0
367,12,6,131,0
368,20,6,131,0
369,14,6,131,0
370,15,6,131,0
371,34,6,131,0
372,51,6,131,0
373,48,6,131,0
374,48,6,131,0
375,10,6,131,0
376,31,6,131,0
377,96,6,131,0
378,47,6,131,0
379,11,6,131,0
380,17,6,131,0
381,72,6,131,0
382,18,6,131,0
383,23,6,131,0
384,14,6,131,0
385,185,6,131,0
386,37,6,131,0
387,55,6,131,0
388,17,6,131,0
389,61,6,131,0
390,20,6,131,0
391,42,6,131,0
392,58,6,131,0
393,225,6,131,0
394,83,6,131,0
395,29,6,131,0
396,32,6,131,0
397,233,6,131,0
398,25,6,131,0
399,45,6,131,0
400,19,6,131,0
401,24,6,131,0
402,15,6,131,0
403,27,6,131,0
404,119,6,131,0
405,234,6,131,0
406,28,6,131,0
407,19,6,131,0
